Year,Defoliation_ha
1980,1999
1981,12302
1982,34283
1983,108946
1984,228101
1985,136859
1986,17464
1987,47858
1988,130853
1989,339968
1990,393293
1991,185694
1992,35489
1993,9349
1994,18454
1995,46168
1996,9716
1997,2119
1998,20455
1999,144973
2000,218948
2001,63405
2002,9668
2003,4982
2004,10324
2005,5820
2006,1859
2007,2111
2008,5434
2009,8685
2010,21860
2011,9182
2012,4380
2013,2459
2014,2472
2015,11733
2016,19436
2017,26672
2018,56184
2019,82084
2020,179763
2021,1779744
2022,22427
2023,2529
